,ticker,fiscal_year,current_liabilities,current_assets,fixed_assets,other_than_fixed_noncurrent_assets,equity,liabilities_and_equity,equity_attributable_to_parent,equity_attributable_to_noncontrolling_interest,assets,noncurrent_liabilities,liabilities,noncurrent_assets,commitments_and_contingencies,temporary_equity_attributable_to_parent,temporary_equity,redeemable_noncontrolling_interest_preferred,redeemable_noncontrolling_interest,redeemable_noncontrolling_interest_other,redeemable_noncontrolling_interest_common
0001090872:2011:FY,A,2011,1837000000.0,5569000000.0,1006000000.0,2482000000.0,4316000000.0,9057000000.0,4308000000.0,8000000.0,9057000000.0,2904000000.0,4741000000.0,3488000000.0,,,,,,,
0001090872:2012:FY,A,2012,1893000000.0,4629000000.0,1164000000.0,4743000000.0,5185000000.0,10536000000.0,5182000000.0,3000000.0,10536000000.0,3458000000.0,5351000000.0,5907000000.0,,,,,,,
0001090872:2013:FY,A,2013,1602000000.0,4983000000.0,1134000000.0,4569000000.0,5289000000.0,10686000000.0,5286000000.0,3000000.0,10686000000.0,3795000000.0,5397000000.0,5703000000.0,,,,,,,
0001090872:2014:FY,A,2014,1702000000.0,5500000000.0,1101000000.0,4230000000.0,5301000000.0,10831000000.0,5298000000.0,3000000.0,10831000000.0,3828000000.0,5530000000.0,5331000000.0,,,,,,,
0001090872:2015:FY,A,2015,976000000.0,3686000000.0,604000000.0,3189000000.0,4170000000.0,7479000000.0,4167000000.0,3000000.0,7479000000.0,2333000000.0,3309000000.0,3793000000.0,,,,,,,
0001090872:2016:FY,A,2016,945000000.0,3635000000.0,639000000.0,3528000000.0,4246000000.0,7802000000.0,4243000000.0,3000000.0,7802000000.0,2611000000.0,3556000000.0,4167000000.0,,,,,,,
0001090872:2017:FY,A,2017,1263000000.0,4169000000.0,757000000.0,3500000000.0,4835000000.0,8426000000.0,4831000000.0,4000000.0,8426000000.0,2328000000.0,3591000000.0,4257000000.0,,,,,,,
0001090872:2018:FY,A,2018,1171000000.0,3848000000.0,822000000.0,3871000000.0,4571000000.0,8541000000.0,4567000000.0,4000000.0,8541000000.0,2799000000.0,3970000000.0,4693000000.0,,,,,,,
0001090872:2019:FY,A,2019,2080000000.0,3189000000.0,850000000.0,5413000000.0,4748000000.0,9452000000.0,4748000000.0,0.0,9452000000.0,2624000000.0,4704000000.0,6263000000.0,,,,,,,
0001090872:2020:FY,A,2020,1467000000.0,3415000000.0,845000000.0,5367000000.0,4873000000.0,9627000000.0,4873000000.0,0.0,9627000000.0,3287000000.0,4754000000.0,6212000000.0,,,,,,,
0001090872:2021:FY,A,2021,1708000000.0,3799000000.0,945000000.0,5961000000.0,5389000000.0,10705000000.0,5389000000.0,0.0,10705000000.0,3608000000.0,5316000000.0,6906000000.0,,,,,,,
0001090872:2022:FY,A,2022,1861000000.0,3778000000.0,1100000000.0,5654000000.0,5305000000.0,10532000000.0,5305000000.0,0.0,10532000000.0,3366000000.0,5227000000.0,6754000000.0,,,,,,,
0000004281:2009:FY,AA,2009,5414000000.0,7022000000.0,19828000000.0,11622000000.0,15520000000.0,38472000000.0,12420000000.0,3100000000.0,38472000000.0,17498000000.0,22912000000.0,31450000000.0,,,,,,,
0000004281:2011:FY,AA,2011,6013000000.0,7713000000.0,19416000000.0,12991000000.0,17195000000.0,40120000000.0,13844000000.0,3351000000.0,40120000000.0,16912000000.0,22925000000.0,32407000000.0,,,,,,,
0000004281:2012:FY,AA,2012,5942000000.0,7700000000.0,18947000000.0,13532000000.0,16523000000.0,40179000000.0,13199000000.0,3324000000.0,40179000000.0,17714000000.0,23656000000.0,32479000000.0,,,,,,,
0000004281:2013:FY,AA,2013,6105000000.0,6969000000.0,17639000000.0,11134000000.0,13522000000.0,35742000000.0,10593000000.0,2929000000.0,35742000000.0,16115000000.0,22220000000.0,28773000000.0,,,,,,,
0000004281:2014:FY,AA,2014,5541000000.0,8269000000.0,16426000000.0,12704000000.0,14794000000.0,37399000000.0,12306000000.0,2488000000.0,37399000000.0,17064000000.0,22605000000.0,29130000000.0,,,,,,,
0000004281:2015:FY,AA,2015,5211000000.0,7953000000.0,14815000000.0,13760000000.0,14131000000.0,36528000000.0,12046000000.0,2085000000.0,36528000000.0,17186000000.0,22397000000.0,28575000000.0,,,,,,,
0001675149:2016:FY,AA,2016,2821000000.0,3181000000.0,9325000000.0,4235000000.0,7697000000.0,16741000000.0,5654000000.0,2043000000.0,16741000000.0,6223000000.0,9044000000.0,13560000000.0,,,,,,,
0001675149:2017:FY,AA,2017,3252000000.0,4238000000.0,9138000000.0,4071000000.0,6798000000.0,17447000000.0,4523000000.0,2275000000.0,17447000000.0,7397000000.0,10649000000.0,13209000000.0,,,,,,,
0001675149:2018:FY,AA,2018,2919000000.0,4134000000.0,8327000000.0,3477000000.0,7394000000.0,15938000000.0,5389000000.0,2005000000.0,15938000000.0,5625000000.0,8544000000.0,11804000000.0,,,,,,,
0001675149:2019:FY,AA,2019,2563000000.0,3530000000.0,7916000000.0,3185000000.0,5886000000.0,14631000000.0,4112000000.0,1774000000.0,14631000000.0,6182000000.0,8745000000.0,11101000000.0,,,,,,,
0001675149:2020:FY,AA,2020,2761000000.0,4520000000.0,7190000000.0,3150000000.0,5016000000.0,14860000000.0,3311000000.0,1705000000.0,14860000000.0,7083000000.0,9844000000.0,10340000000.0,,,,,,,
0001675149:2021:FY,AA,2021,3223000000.0,5026000000.0,6623000000.0,3376000000.0,6284000000.0,15025000000.0,4672000000.0,1612000000.0,15025000000.0,5518000000.0,8741000000.0,9999000000.0,,,,,,,
0001422142:2021:FY,AADI,2021,15273000.0,151272000.0,57000.0,6581000.0,136406000.0,157910000.0,136406000.0,0.0,157910000.0,6231000.0,21504000.0,6638000.0,,,,,,,
0000006201:2013:FY,AAL,2013,13806000000.0,14323000000.0,19259000000.0,8696000000.0,-2731000000.0,42278000000.0,-2731000000.0,0.0,42278000000.0,31203000000.0,45009000000.0,27955000000.0,,,,,,,
0000006201:2014:FY,AAL,2014,13435000000.0,12112000000.0,23084000000.0,8575000000.0,2021000000.0,43771000000.0,2021000000.0,0.0,43771000000.0,28315000000.0,41750000000.0,31659000000.0,,,,,,,
0000006201:2015:FY,AAL,2015,13605000000.0,9985000000.0,27510000000.0,10920000000.0,5635000000.0,48415000000.0,5635000000.0,0.0,48415000000.0,29175000000.0,42780000000.0,38430000000.0,,,,,,,
0000006201:2016:FY,AAL,2016,13872000000.0,10324000000.0,31159000000.0,9791000000.0,3785000000.0,51274000000.0,3785000000.0,0.0,51274000000.0,33617000000.0,47489000000.0,40950000000.0,,,,,,,
0000006201:2017:FY,AAL,2017,14964000000.0,9146000000.0,34156000000.0,8094000000.0,3926000000.0,51396000000.0,3926000000.0,0.0,51396000000.0,32506000000.0,47470000000.0,42250000000.0,,,,,,,
0000006201:2018:FY,AAL,2018,18096000000.0,8637000000.0,34098000000.0,17845000000.0,-169000000.0,60580000000.0,-169000000.0,0.0,60580000000.0,42653000000.0,60749000000.0,51943000000.0,,,,,,,
0000006201:2019:FY,AAL,2019,18311000000.0,8206000000.0,34995000000.0,16794000000.0,-118000000.0,59995000000.0,-118000000.0,0.0,59995000000.0,41802000000.0,60113000000.0,51789000000.0,,,,,,,
0000006201:2020:FY,AAL,2020,16569000000.0,11095000000.0,,,-6867000000.0,62008000000.0,-6867000000.0,0.0,62008000000.0,52306000000.0,68875000000.0,50913000000.0,,,,,,,
0000006201:2021:FY,AAL,2021,19006000000.0,17336000000.0,,,-7340000000.0,66467000000.0,-7340000000.0,0.0,66467000000.0,54801000000.0,73807000000.0,49131000000.0,,,,,,,
0000706688:2010:FY,AAN,2010,522655000.0,1502072000.0,204912000.0,-204912000.0,979417000.0,1502072000.0,979417000.0,0.0,1502072000.0,0.0,522655000.0,0.0,,,,,,,
0000706688:2011:FY,AAN,2011,758595000.0,1735149000.0,226619000.0,-226619000.0,976554000.0,1735149000.0,976554000.0,0.0,1735149000.0,0.0,758595000.0,0.0,,,,,,,
0000706688:2012:FY,AAN,2012,676803000.0,1812929000.0,230598000.0,-230598000.0,1136126000.0,1812929000.0,1136126000.0,0.0,1812929000.0,0.0,676803000.0,0.0,,,,,,,
0000706688:2013:FY,AAN,2013,687213000.0,1827176000.0,231293000.0,-231293000.0,1139963000.0,1827176000.0,1139963000.0,0.0,1827176000.0,0.0,687213000.0,0.0,,,,,,,
0000706688:2014:FY,AAN,2014,1233323000.0,2456844000.0,219417000.0,-219417000.0,1223521000.0,2456844000.0,1223521000.0,0.0,2456844000.0,0.0,1233323000.0,0.0,,,,,,,
0000706688:2015:FY,AAN,2015,1292257000.0,2658875000.0,225836000.0,-225836000.0,1366618000.0,2658875000.0,1366618000.0,0.0,2658875000.0,0.0,1292257000.0,0.0,,,,,,,
0000706688:2016:FY,AAN,2016,1134138000.0,2615736000.0,211271000.0,-211271000.0,1481598000.0,2615736000.0,1481598000.0,0.0,2615736000.0,0.0,1134138000.0,0.0,,,,,,,
0000706688:2017:FY,AAN,2017,964260000.0,2692264000.0,207687000.0,-207687000.0,1728004000.0,2692264000.0,1728004000.0,0.0,2692264000.0,0.0,964260000.0,0.0,,,,,,,
0000706688:2018:FY,AAN,2018,1065984000.0,2826692000.0,229492000.0,-229492000.0,1760708000.0,2826692000.0,1760708000.0,0.0,2826692000.0,0.0,1065984000.0,0.0,0.0,,,,,,
0000706688:2019:FY,AAN,2019,1560541000.0,3297800000.0,237666000.0,-237666000.0,1737259000.0,3297800000.0,1737259000.0,0.0,3297800000.0,0.0,1560541000.0,0.0,,,,,,,
0001821393:2020:FY,AAN,2020,642132000.0,1353457000.0,200370000.0,-200370000.0,711325000.0,1353457000.0,711325000.0,0.0,1353457000.0,0.0,642132000.0,0.0,,,,,,,
0001821393:2021:FY,AAN,2021,723099000.0,1441265000.0,,,718166000.0,1441265000.0,718166000.0,0.0,1441265000.0,0.0,723099000.0,0.0,,,,,,,
0000824142:2011:FY,AAON,2011,38687000.0,84387000.0,93502000.0,1092000.0,122504000.0,178981000.0,122504000.0,0.0,178981000.0,17790000.0,56477000.0,94594000.0,,,,,,,
0000824142:2012:FY,AAON,2012,39625000.0,91546000.0,90695000.0,11252000.0,138136000.0,193493000.0,138136000.0,0.0,193493000.0,15732000.0,55357000.0,101947000.0,,,,,,,
0000824142:2013:FY,AAON,2013,36329000.0,113623000.0,87283000.0,14538000.0,164106000.0,215444000.0,164106000.0,0.0,215444000.0,15009000.0,51338000.0,101821000.0,,,,,,,
0000824142:2014:FY,AAON,2014,42713000.0,131083000.0,91922000.0,10112000.0,174059000.0,233117000.0,174059000.0,0.0,233117000.0,16345000.0,59058000.0,102034000.0,,,,,,,
0000824142:2015:FY,AAON,2015,43413000.0,124213000.0,101061000.0,7580000.0,178918000.0,232854000.0,178918000.0,0.0,232854000.0,10523000.0,53936000.0,108641000.0,,,,,,,
0000824142:2016:FY,AAON,2016,39042000.0,140981000.0,114892000.0,657000.0,205898000.0,256530000.0,205898000.0,0.0,256530000.0,11590000.0,50632000.0,115549000.0,,,,,,,
0000824142:2017:FY,AAON,2017,50065000.0,153727000.0,142375000.0,678000.0,237226000.0,296780000.0,237226000.0,0.0,296780000.0,9489000.0,59554000.0,143053000.0,,,,,,,
0000824142:2018:FY,AAON,2018,48071000.0,140861000.0,163003000.0,4333000.0,247499000.0,308197000.0,247499000.0,0.0,308197000.0,12627000.0,60698000.0,167336000.0,,,,,,,
0000824142:2019:FY,AAON,2019,56028000.0,187549000.0,178094000.0,5781000.0,290140000.0,371424000.0,290140000.0,0.0,371424000.0,25256000.0,81284000.0,183875000.0,,,,,,,
0000824142:2020:FY,AAON,2020,59033000.0,220251000.0,223340000.0,5417000.0,350865000.0,449008000.0,350865000.0,0.0,449008000.0,39110000.0,98143000.0,228757000.0,,,,,,,
0000824142:2021:FY,AAON,2021,86768000.0,218080000.0,258062000.0,174038000.0,466170000.0,650180000.0,466170000.0,0.0,650180000.0,97242000.0,184010000.0,432100000.0,,,,,,,
0001158449:2011:FY,AAP,2011,2187875000.0,2293820000.0,1223099000.0,138835000.0,847914000.0,3655754000.0,847914000.0,0.0,3655754000.0,619965000.0,2807840000.0,1361934000.0,,,,,,,
0001158449:2012:FY,AAP,2012,2559638000.0,3184200000.0,1291759000.0,137855000.0,1210694000.0,4613814000.0,1210694000.0,0.0,4613814000.0,843482000.0,3403120000.0,1429614000.0,,,,,,,
0001158449:2014:FY,AAP,2014,3743066000.0,4741040000.0,1432030000.0,1789288000.0,2002912000.0,7962358000.0,2002912000.0,0.0,7962358000.0,2216380000.0,5959446000.0,3221318000.0,,,,,,,
0001158449:2016:FY,AAP,2016,3676046000.0,5172764000.0,1446340000.0,1695929000.0,2916192000.0,8315033000.0,2916192000.0,0.0,8315033000.0,1722795000.0,5398841000.0,3142269000.0,,,,,,,
0001158449:2017:FY,AAP,2017,3480097000.0,5426892000.0,1394138000.0,1661271000.0,3415196000.0,8482301000.0,3415196000.0,0.0,8482301000.0,1587008000.0,5067105000.0,3055409000.0,,,,,,,
0001158449:2018:FY,AAP,2018,3885950000.0,6082454000.0,1368985000.0,1589209000.0,3550813000.0,9040648000.0,3550813000.0,0.0,9040648000.0,1603885000.0,5489835000.0,2958194000.0,,,,,,,
0001158449:2019:FY,AAP,2019,4477702000.0,5695543000.0,1433213000.0,4119769000.0,3549081000.0,11248525000.0,3549081000.0,0.0,11248525000.0,3221742000.0,7699444000.0,5552982000.0,,,,,,,
0001158449:2020:FY,AAP,2020,4743915000.0,6270001000.0,1462602000.0,4107033000.0,3559512000.0,11839636000.0,3559512000.0,0.0,11839636000.0,3536209000.0,8280124000.0,5569635000.0,,,,,,,
0000320193:2009:FY,AAPL,2009,19282000000.0,36265000000.0,,,27832000000.0,53851000000.0,27832000000.0,0.0,53851000000.0,6737000000.0,26019000000.0,17586000000.0,,,,,,,
0000320193:2010:FY,AAPL,2010,20722000000.0,41678000000.0,,,47791000000.0,75183000000.0,47791000000.0,0.0,75183000000.0,6670000000.0,27392000000.0,33505000000.0,,,,,,,
0000320193:2011:FY,AAPL,2011,27970000000.0,44988000000.0,,,76615000000.0,116371000000.0,76615000000.0,0.0,116371000000.0,11786000000.0,39756000000.0,71383000000.0,,,,,,,
0000320193:2012:FY,AAPL,2012,38542000000.0,57653000000.0,15452000000.0,102959000000.0,118210000000.0,176064000000.0,118210000000.0,0.0,176064000000.0,19312000000.0,57854000000.0,118411000000.0,,,,,,,
0000320193:2013:FY,AAPL,2013,43658000000.0,73286000000.0,16597000000.0,117117000000.0,123549000000.0,207000000000.0,123549000000.0,0.0,207000000000.0,39793000000.0,83451000000.0,133714000000.0,,,,,,,
0000320193:2014:FY,AAPL,2014,63448000000.0,68531000000.0,20624000000.0,142684000000.0,111547000000.0,231839000000.0,111547000000.0,0.0,231839000000.0,56844000000.0,120292000000.0,163308000000.0,,,,,,,
0000320193:2015:FY,AAPL,2015,80610000000.0,89378000000.0,22471000000.0,178630000000.0,119355000000.0,290479000000.0,119355000000.0,0.0,290479000000.0,90514000000.0,171124000000.0,201101000000.0,,,,,,,
0000320193:2016:FY,AAPL,2016,79006000000.0,106869000000.0,27010000000.0,187807000000.0,128249000000.0,321686000000.0,128249000000.0,0.0,321686000000.0,114431000000.0,193437000000.0,214817000000.0,,,,,,,
0000320193:2017:FY,AAPL,2017,100814000000.0,128645000000.0,33783000000.0,212891000000.0,134047000000.0,375319000000.0,134047000000.0,0.0,375319000000.0,140458000000.0,241272000000.0,246674000000.0,,,,,,,
0000320193:2018:FY,AAPL,2018,116866000000.0,131339000000.0,41304000000.0,234386000000.0,107147000000.0,365725000000.0,107147000000.0,0.0,365725000000.0,141712000000.0,258578000000.0,234386000000.0,,,,,,,
0000320193:2019:FY,AAPL,2019,105718000000.0,162819000000.0,37378000000.0,175697000000.0,90488000000.0,338516000000.0,90488000000.0,0.0,338516000000.0,142310000000.0,248028000000.0,175697000000.0,,,,,,,
0000320193:2020:FY,AAPL,2020,105392000000.0,143713000000.0,36766000000.0,180175000000.0,65339000000.0,323888000000.0,65339000000.0,0.0,323888000000.0,153157000000.0,258549000000.0,180175000000.0,,,,,,,
0000320193:2021:FY,AAPL,2021,125481000000.0,134836000000.0,39440000000.0,216166000000.0,63090000000.0,351002000000.0,63090000000.0,0.0,351002000000.0,162431000000.0,287912000000.0,216166000000.0,,,,,,,
0000320193:2022:FY,AAPL,2022,153982000000.0,135405000000.0,42117000000.0,217350000000.0,50672000000.0,352755000000.0,50672000000.0,0.0,352755000000.0,148101000000.0,302083000000.0,217350000000.0,,,,,,,
0001500217:2011:FY,AAT,2011,1029553000.0,1709281000.0,,,679728000.0,1709281000.0,626031000.0,53697000.0,1709281000.0,0.0,1029553000.0,0.0,,,,,,,
0001500217:2012:FY,AAT,2012,1141858000.0,1827587000.0,,,685729000.0,1827587000.0,638361000.0,47368000.0,1827587000.0,0.0,1141858000.0,0.0,,,,,,,
0001500217:2013:FY,AAT,2013,1145865000.0,1832443000.0,,,686578000.0,1832443000.0,648511000.0,38067000.0,1832443000.0,0.0,1145865000.0,0.0,,,,,,,
0001500217:2014:FY,AAT,2014,1175186000.0,1941762000.0,,,766576000.0,1941762000.0,735303000.0,31273000.0,1941762000.0,0.0,1175186000.0,0.0,,,,,,,
0001500217:2015:FY,AAT,2015,1149492000.0,1978419000.0,,,828927000.0,1978419000.0,799562000.0,29365000.0,1978419000.0,0.0,1149492000.0,0.0,,,,,,,
0001500217:2016:FY,AAT,2016,1148382000.0,1986933000.0,,,838551000.0,1986933000.0,809556000.0,28995000.0,1986933000.0,0.0,1148382000.0,0.0,,,,,,,
0001500217:2017:FY,AAT,2017,1415720000.0,2259864000.0,,,844144000.0,2259864000.0,833710000.0,10434000.0,2259864000.0,0.0,1415720000.0,0.0,,,,,,,
0001500217:2018:FY,AAT,2018,1395779000.0,2198250000.0,,,802471000.0,2198250000.0,802977000.0,-506000.0,2198250000.0,0.0,1395779000.0,0.0,,,,,,,
0001500217:2019:FY,AAT,2019,1496661000.0,2790333000.0,,,1293672000.0,2790333000.0,1313917000.0,-20245000.0,2790333000.0,0.0,1496661000.0,0.0,,,,,,,
0001500217:2020:FY,AAT,2020,1563903000.0,2817309000.0,,,1253406000.0,2817309000.0,1271442000.0,-18036000.0,2817309000.0,0.0,1563903000.0,0.0,,,,,,,
0001500217:2021:FY,AAT,2021,1807804000.0,3017927000.0,,,1210123000.0,3017927000.0,1238964000.0,-28841000.0,3017927000.0,0.0,1807804000.0,0.0,,,,,,,
0001135185:2011:FY,AAWW,2011,272657000.0,393837000.0,1748233000.0,248928000.0,1141375000.0,2390998000.0,1137512000.0,3863000.0,2390998000.0,976966000.0,1249623000.0,1997161000.0,0.0,,,,,,
0001135185:2012:FY,AAWW,2012,328016000.0,632995000.0,2211539000.0,308151000.0,1288104000.0,3152685000.0,1284261000.0,3843000.0,3152685000.0,1536565000.0,1864581000.0,2519690000.0,0.0,,,,,,
0001135185:2013:FY,AAWW,2013,417145000.0,593953000.0,2828965000.0,295341000.0,1322125000.0,3718259000.0,1317773000.0,4352000.0,3718259000.0,1978989000.0,2396134000.0,3124306000.0,0.0,,,,,,
0001135185:2014:FY,AAWW,2014,484798000.0,606104000.0,3172227000.0,323289000.0,1417795000.0,4101620000.0,1417795000.0,0.0,4101620000.0,2199027000.0,2683825000.0,3495516000.0,0.0,,,,,,
0001135185:2015:FY,AAWW,2015,548227000.0,651937000.0,3335196000.0,177270000.0,1454183000.0,4164403000.0,1454183000.0,0.0,4164403000.0,2161993000.0,2710220000.0,3512466000.0,,,,,,,
0001135185:2016:FY,AAWW,2016,565178000.0,358070000.0,3540682000.0,348627000.0,1517338000.0,4247379000.0,1517338000.0,0.0,4247379000.0,2164863000.0,2730041000.0,3889309000.0,,,,,,,
0001135185:2017:FY,AAWW,2017,738596000.0,587586000.0,4003101000.0,364775000.0,1789856000.0,4955462000.0,1789856000.0,0.0,4955462000.0,2427010000.0,3165606000.0,4367876000.0,0.0,,,,,,
0001135185:2018:FY,AAWW,2018,817733000.0,629831000.0,4462235000.0,442726000.0,2067964000.0,5534792000.0,2067964000.0,0.0,5534792000.0,2649095000.0,3466828000.0,4904961000.0,0.0,,,,,,
0001135185:2019:FY,AAWW,2019,1099162000.0,632531000.0,4053226000.0,699884000.0,1792179000.0,5385641000.0,1792179000.0,0.0,5385641000.0,2494300000.0,3593462000.0,4753110000.0,0.0,,,,,,
0001135185:2020:FY,AAWW,2020,1147186000.0,1217721000.0,4110594000.0,700873000.0,2261539000.0,6029188000.0,2261539000.0,0.0,6029188000.0,2620463000.0,3767649000.0,4811467000.0,0.0,,,,,,
0001135185:2021:FY,AAWW,2021,1420057000.0,1326022000.0,4583710000.0,533511000.0,2809337000.0,6443243000.0,2809337000.0,0.0,6443243000.0,2213849000.0,3633906000.0,5117221000.0,0.0,,,,,,
0001551152:2013:FY,ABBV,2013,6879000000.0,17848000000.0,2298000000.0,9052000000.0,4492000000.0,29198000000.0,4492000000.0,0.0,29198000000.0,17827000000.0,24706000000.0,11350000000.0,,,,,,,
0001551152:2014:FY,ABBV,2014,11400000000.0,16088000000.0,2485000000.0,8974000000.0,1742000000.0,27547000000.0,1742000000.0,0.0,27547000000.0,14405000000.0,25805000000.0,11459000000.0,,,,,,,
0001551152:2015:FY,ABBV,2015,10894000000.0,16314000000.0,2565000000.0,34171000000.0,3945000000.0,53050000000.0,3945000000.0,0.0,53050000000.0,38211000000.0,49105000000.0,36736000000.0,,,,,,,
0001551152:2016:FY,ABBV,2016,9781000000.0,16187000000.0,2604000000.0,47308000000.0,4636000000.0,66099000000.0,4636000000.0,0.0,66099000000.0,51682000000.0,61463000000.0,49912000000.0,,,,,,,
0001551152:2017:FY,ABBV,2017,16641000000.0,21223000000.0,2803000000.0,46760000000.0,5097000000.0,70786000000.0,5097000000.0,0.0,70786000000.0,49048000000.0,65689000000.0,49563000000.0,,,,,,,
0001551152:2018:FY,ABBV,2018,17239000000.0,16945000000.0,2883000000.0,39524000000.0,-8446000000.0,59352000000.0,-8446000000.0,0.0,59352000000.0,50559000000.0,67798000000.0,42407000000.0,,,,,,,
0001551152:2019:FY,ABBV,2019,15585000000.0,49519000000.0,2962000000.0,36634000000.0,-8172000000.0,89115000000.0,-8172000000.0,0.0,89115000000.0,81702000000.0,97287000000.0,39596000000.0,,,,,,,
0001551152:2020:FY,ABBV,2020,28661000000.0,24173000000.0,5248000000.0,121144000000.0,13097000000.0,150565000000.0,13076000000.0,21000000.0,150565000000.0,108807000000.0,137468000000.0,126392000000.0,,,,,,,
0001551152:2021:FY,ABBV,2021,35194000000.0,27928000000.0,5110000000.0,113491000000.0,15436000000.0,146529000000.0,15408000000.0,28000000.0,146529000000.0,95899000000.0,131093000000.0,118601000000.0,,,,,,,
0001140859:2009:FY,ABC,2009,9479610000.0,9953753000.0,619238000.0,2999749000.0,2716469000.0,13572740000.0,2716469000.0,0.0,13572740000.0,1376661000.0,10856271000.0,3618987000.0,,,,,,,
0001140859:2011:FY,ABC,2011,10855120000.0,11217623000.0,772916000.0,2992132000.0,2866858000.0,14982671000.0,2866858000.0,0.0,14982671000.0,1260693000.0,12115813000.0,3765048000.0,,,,,,,
0001140859:2012:FY,ABC,2012,11214482000.0,10987151000.0,780013000.0,3676962000.0,2456712000.0,15444126000.0,2456712000.0,0.0,15444126000.0,1772932000.0,12987414000.0,4456975000.0,,,,,,,
0001140859:2013:FY,ABC,2013,14870635000.0,14393651000.0,803561000.0,3721426000.0,2319745000.0,18918638000.0,2319745000.0,0.0,18918638000.0,1728258000.0,16598893000.0,4524987000.0,,,,,,,
0001140859:2014:FY,ABC,2014,17250160000.0,16800205000.0,899582000.0,3832396000.0,1956899000.0,21532183000.0,1956899000.0,0.0,21532183000.0,2325124000.0,19575284000.0,4731978000.0,,,,,,,
0001140859:2015:FY,ABC,2015,22700765000.0,20334488000.0,979251000.0,6422418000.0,633520000.0,27736157000.0,633520000.0,0.0,27736157000.0,4401872000.0,27102637000.0,7401669000.0,,,,,,,
0001140859:2016:FY,ABC,2016,25281308000.0,22851847000.0,1530682000.0,9273671000.0,2129404000.0,33656200000.0,2129404000.0,0.0,33656200000.0,6245488000.0,31526796000.0,10804353000.0,,,,,,,
0001140859:2017:FY,ABC,2017,26818165000.0,24303299000.0,1797945000.0,9215226000.0,2064461000.0,35316470000.0,2064461000.0,0.0,35316470000.0,6433844000.0,33252009000.0,11013171000.0,,,,,,,
0001140859:2018:FY,ABC,2018,27869687000.0,25894372000.0,1892424000.0,9883042000.0,3049961000.0,37669838000.0,2932824000.0,117137000.0,37669838000.0,6750190000.0,34619877000.0,11775466000.0,,,,,,,
0001140859:2019:FY,ABC,2019,29581294000.0,28132054000.0,1770516000.0,9269410000.0,2993206000.0,39171980000.0,2878917000.0,114289000.0,39171980000.0,6597480000.0,36178774000.0,11039926000.0,,,,,,,
0001140859:2020:FY,ABC,2020,33853077000.0,33055702000.0,1484808000.0,9734320000.0,-839636000.0,44274830000.0,-1018924000.0,179288000.0,44274830000.0,11261389000.0,45114466000.0,11219128000.0,,,,,,,
0001140859:2021:FY,ABC,2021,41358641000.0,38802609000.0,2162961000.0,16372235000.0,584411000.0,57337805000.0,223354000.0,361057000.0,57337805000.0,15394753000.0,56753394000.0,18535196000.0,,,,,,,
0001140859:2022:FY,ABC,2022,43477955000.0,39589758000.0,2135003000.0,14835855000.0,71273000.0,56560616000.0,-211559000.0,282832000.0,56560616000.0,13011388000.0,56489343000.0,16970858000.0,,,,,,,
0000351569:2011:FY,ABCB,2011,2700537000.0,2994307000.0,73124000.0,-73124000.0,293770000.0,2994307000.0,293770000.0,0.0,2994307000.0,0.0,2700537000.0,0.0,,,,,,,
0000351569:2012:FY,ABCB,2012,2740035000.0,3019052000.0,75983000.0,-75983000.0,279017000.0,3019052000.0,279017000.0,0.0,3019052000.0,0.0,2740035000.0,0.0,,,,,,,
0000351569:2013:FY,ABCB,2013,3350950000.0,3667649000.0,103188000.0,-103188000.0,316699000.0,3667649000.0,316699000.0,0.0,3667649000.0,0.0,3350950000.0,0.0,,,,,,,
0000351569:2014:FY,ABCB,2014,3671049000.0,4037077000.0,97251000.0,-97251000.0,366028000.0,4037077000.0,366028000.0,0.0,4037077000.0,0.0,3671049000.0,0.0,,,,,,,
0000351569:2015:FY,ABCB,2015,5074181000.0,5588940000.0,121639000.0,-121639000.0,514759000.0,5588940000.0,514759000.0,0.0,5588940000.0,0.0,5074181000.0,0.0,,,,,,,
0000351569:2016:FY,ABCB,2016,6245594000.0,6892031000.0,121217000.0,-121217000.0,646437000.0,6892031000.0,646437000.0,0.0,6892031000.0,0.0,6245594000.0,0.0,,,,,,,
0000351569:2017:FY,ABCB,2017,7051724000.0,7856203000.0,117738000.0,-117738000.0,804479000.0,7856203000.0,804479000.0,0.0,7856203000.0,0.0,7051724000.0,0.0,,,,,,,
0000351569:2018:FY,ABCB,2018,9987168000.0,11443515000.0,145410000.0,-145410000.0,1456347000.0,11443515000.0,1456347000.0,0.0,11443515000.0,0.0,9987168000.0,0.0,,,,,,,
0000351569:2019:FY,ABCB,2019,15772997000.0,18242579000.0,233102000.0,-233102000.0,2469582000.0,18242579000.0,2469582000.0,0.0,18242579000.0,0.0,15772997000.0,0.0,,,,,,,
0000351569:2020:FY,ABCB,2020,17791550000.0,20438638000.0,222890000.0,-222890000.0,2647088000.0,20438638000.0,2647088000.0,0.0,20438638000.0,0.0,17791550000.0,0.0,,,,,,,
0000351569:2021:FY,ABCB,2021,20891870000.0,23858321000.0,225400000.0,-225400000.0,2966451000.0,23858321000.0,2966451000.0,0.0,23858321000.0,0.0,20891870000.0,0.0,,,,,,,
