,ticker,fiscal_year,current_liabilities,current_assets,fixed_assets,other_than_fixed_noncurrent_assets,equity,liabilities_and_equity,equity_attributable_to_parent,equity_attributable_to_noncontrolling_interest,assets,noncurrent_liabilities,liabilities,noncurrent_assets,commitments_and_contingencies,temporary_equity_attributable_to_parent,temporary_equity,redeemable_noncontrolling_interest_preferred,redeemable_noncontrolling_interest,redeemable_noncontrolling_interest_other,redeemable_noncontrolling_interest_common
0001788882:2020:FY,ROOT,2020,729900000.0,1762300000.0,8900000.0,-8900000.0,1032400000.0,1762300000.0,1032400000.0,0.0,1762300000.0,0.0,729900000.0,0.0,,0.0,0.0,,,,
0001788882:2021:FY,ROOT,2021,670900000.0,1319300000.0,10300000.0,-10300000.0,536400000.0,1319300000.0,536400000.0,0.0,1319300000.0,0.0,670900000.0,0.0,,112000000.0,112000000.0,,,,
0000882835:2011:FY,ROP,2011,554196000.0,1115473000.0,108775000.0,4095169000.0,3195096000.0,5319417000.0,3195096000.0,0.0,5319417000.0,1570125000.0,2124321000.0,4203944000.0,,,,,,,
0000882835:2012:FY,ROP,2012,1086210000.0,1245542000.0,110397000.0,5715165000.0,3687726000.0,7071104000.0,3687726000.0,0.0,7071104000.0,2297168000.0,3383378000.0,5825562000.0,,,,,,,
0000882835:2013:FY,ROP,2013,643091000.0,1373337000.0,117310000.0,6694334000.0,4213050000.0,8184981000.0,4213050000.0,0.0,8184981000.0,3328840000.0,3971931000.0,6811644000.0,,,,,,,
0000882835:2014:FY,ROP,2014,627947000.0,1512105000.0,110876000.0,6789953000.0,4755360000.0,8412934000.0,4755360000.0,0.0,8412934000.0,3029627000.0,3657574000.0,6900829000.0,,,,,,,
0000882835:2015:FY,ROP,2015,720128000.0,1618047000.0,105510000.0,8444808000.0,5298947000.0,10168365000.0,5298947000.0,0.0,10168365000.0,4149290000.0,4869418000.0,8550318000.0,,,,,,,
0000882835:2016:FY,ROP,2016,1445272000.0,1776501000.0,141318000.0,12407108000.0,5788865000.0,14324927000.0,5788865000.0,0.0,14324927000.0,7090790000.0,8536062000.0,12548426000.0,,,,,,,
0000882835:2017:FY,ROP,2017,2029409000.0,1759402000.0,142535000.0,12414476000.0,6863564000.0,14316413000.0,6863564000.0,0.0,14316413000.0,5423440000.0,7452849000.0,12557011000.0,,,,,,,
0000882835:2018:FY,ROP,2018,1448200000.0,1610700000.0,128700000.0,13510100000.0,7738500000.0,15249500000.0,7738500000.0,0.0,15249500000.0,6062800000.0,7511000000.0,13638800000.0,,,,,,,
0000882835:2019:FY,ROP,2019,2397400000.0,1999500000.0,139900000.0,15969500000.0,9491900000.0,18108900000.0,9491900000.0,0.0,18108900000.0,6219600000.0,8617000000.0,16109400000.0,,,,,,,
0000882835:2020:FY,ROP,2020,2444400000.0,1752300000.0,140600000.0,22131900000.0,10479800000.0,24024800000.0,10479800000.0,0.0,24024800000.0,11100600000.0,13545000000.0,22272500000.0,,,,,,,
0000882835:2021:FY,ROP,2021,3121800000.0,2421100000.0,102800000.0,21190000000.0,11563800000.0,23713900000.0,11563800000.0,0.0,23713900000.0,9028300000.0,12150100000.0,21292800000.0,,,,,,,
0000745732:2011:FY,ROST,2011,1352320000.0,2043239000.0,983776000.0,89189000.0,1332692000.0,3116204000.0,1332692000.0,0.0,3116204000.0,431192000.0,1783512000.0,1072965000.0,,,,,,,
0000745732:2012:FY,ROST,2012,1346052000.0,1924371000.0,1241722000.0,135116000.0,1493012000.0,3301209000.0,1493012000.0,0.0,3301209000.0,462145000.0,1808197000.0,1376838000.0,,,,,,,
0000745732:2013:FY,ROST,2013,1422582000.0,2031427000.0,1493284000.0,145850000.0,1766863000.0,3670561000.0,1766863000.0,0.0,3670561000.0,481116000.0,1903698000.0,1639134000.0,,,,,,,
0000745732:2014:FY,ROST,2014,1393057000.0,1867159000.0,1875299000.0,154339000.0,2007302000.0,3896797000.0,2007302000.0,0.0,3896797000.0,496438000.0,1889495000.0,2029638000.0,,,,,,,
