,ticker,fiscal_year,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_noncontrolling_interest
0000701288:2012:FY,ATRI,2012,0.0,0.0,23629000.0,23629000.0,0.0,0.0
0000701288:2013:FY,ATRI,2013,0.0,0.0,26582000.0,26582000.0,0.0,0.0
0000701288:2014:FY,ATRI,2014,0.0,-245000.0,27563000.0,27563000.0,0.0,0.0
0000701288:2015:FY,ATRI,2015,0.0,528000.0,29453000.0,29453000.0,0.0,0.0
0000701288:2016:FY,ATRI,2016,0.0,-757000.0,26824000.0,26824000.0,0.0,0.0
0000701288:2017:FY,ATRI,2017,0.0,-741000.0,35852000.0,35852000.0,0.0,0.0
0000701288:2018:FY,ATRI,2018,0.0,34255000.0,34255000.0,34255000.0,0.0,0.0
0000701288:2019:FY,ATRI,2019,0.0,36761000.0,36761000.0,36761000.0,0.0,0.0
0000701288:2020:FY,ATRI,2020,0.0,0.0,32115000.0,32115000.0,0.0,0.0
0000701288:2021:FY,ATRI,2021,0.0,0.0,33055000.0,33055000.0,0.0,0.0
0000008063:2011:FY,ATRO,2011,0.0,0.0,21591000.0,21591000.0,0.0,0.0
0000008063:2012:FY,ATRO,2012,0.0,-3897000.0,17977000.0,17977000.0,0.0,0.0
0000008063:2013:FY,ATRO,2013,0.0,1172000.0,28438000.0,28438000.0,0.0,0.0
0000008063:2014:FY,ATRO,2014,0.0,-8338000.0,47832000.0,47832000.0,0.0,0.0
0000008063:2015:FY,ATRO,2015,0.0,-3115000.0,63859000.0,63859000.0,0.0,0.0
0000008063:2016:FY,ATRO,2016,0.0,-430000.0,47994000.0,47994000.0,-430000.0,0.0
0000008063:2017:FY,ATRO,2017,0.0,2142000.0,21821000.0,21821000.0,2142000.0,0.0
0000008063:2018:FY,ATRO,2018,0.0,1396000.0,48199000.0,48199000.0,1396000.0,0.0
0000008063:2019:FY,ATRO,2019,0.0,49718000.0,49718000.0,49718000.0,-2299000.0,0.0
0000008063:2020:FY,ATRO,2020,0.0,-116603000.0,-116603000.0,-116603000.0,-822000.0,0.0
0000008063:2021:FY,ATRO,2021,0.0,-23623000.0,-23623000.0,-23623000.0,1955000.0,0.0
0000894081:2011:FY,ATSG,2011,0.0,-33621000.0,-33621000.0,-33621000.0,0.0,0.0
0000894081:2012:FY,ATSG,2012,0.0,26634000.0,26634000.0,26634000.0,-14240000.0,0.0
0000894081:2013:FY,ATSG,2013,0.0,67841000.0,67841000.0,67841000.0,87469000.0,0.0
0000894081:2014:FY,ATSG,2014,0.0,-23198000.0,-23198000.0,-23198000.0,0.0,0.0
0000894081:2015:FY,ATSG,2015,0.0,25086000.0,25086000.0,25086000.0,0.0,0.0
0000894081:2016:FY,ATSG,2016,0.0,42634000.0,42634000.0,42634000.0,0.0,0.0
0000894081:2017:FY,ATSG,2017,0.0,35341000.0,35341000.0,35341000.0,0.0,0.0
0000894081:2018:FY,ATSG,2018,0.0,40943000.0,40943000.0,40943000.0,0.0,0.0
0000894081:2019:FY,ATSG,2019,0.0,90698000.0,90698000.0,90698000.0,0.0,0.0
0000894081:2020:FY,ATSG,2020,0.0,15325000.0,15325000.0,15325000.0,0.0,0.0
