,ticker,fiscal_year,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_noncontrolling_interest
0001090872:2011:FY,A,2011,0.0,204000000.0,1216000000.0,1216000000.0,0.0,0.0
0001090872:2012:FY,A,2012,0.0,-227000000.0,926000000.0,926000000.0,0.0,0.0
0001090872:2013:FY,A,2013,0.0,202000000.0,926000000.0,926000000.0,0.0,0.0
0001090872:2014:FY,A,2014,0.0,-425000000.0,79000000.0,79000000.0,0.0,0.0
0001090872:2015:FY,A,2015,0.0,-389000000.0,12000000.0,12000000.0,0.0,0.0
0001090872:2016:FY,A,2016,0.0,-112000000.0,350000000.0,350000000.0,0.0,0.0
0001090872:2017:FY,A,2017,0.0,157000000.0,841000000.0,841000000.0,0.0,0.0
0001090872:2018:FY,A,2018,0.0,-62000000.0,254000000.0,254000000.0,0.0,0.0
0001090872:2019:FY,A,2019,0.0,-99000000.0,972000000.0,972000000.0,0.0,0.0
0001090872:2020:FY,A,2020,0.0,-8000000.0,711000000.0,711000000.0,0.0,0.0
0001090872:2021:FY,A,2021,0.0,240000000.0,1450000000.0,1450000000.0,0.0,0.0
0001090872:2022:FY,A,2022,0.0,-65000000.0,1189000000.0,1189000000.0,0.0,0.0
0000004281:2009:FY,AA,2009,0.0,1400000000.0,310000000.0,310000000.0,0.0,0.0
0000004281:2011:FY,AA,2011,-376000000.0,0.0,611000000.0,611000000.0,0.0,0.0
0000004281:2012:FY,AA,2012,0.0,-848000000.0,-686000000.0,-686000000.0,0.0,0.0
0000004281:2013:FY,AA,2013,0.0,-595000000.0,-2839000000.0,-2839000000.0,0.0,0.0
0000004281:2014:FY,AA,2014,0.0,-1272000000.0,-1095000000.0,-1095000000.0,0.0,0.0
0000004281:2015:FY,AA,2015,0.0,-1176000000.0,-1373000000.0,-1373000000.0,0.0,0.0
0001675149:2016:FY,AA,2016,0.0,-229000000.0,-575000000.0,-575000000.0,0.0,0.0
0001675149:2017:FY,AA,2017,0.0,-1252000000.0,-693000000.0,-693000000.0,0.0,0.0
0001675149:2018:FY,AA,2018,0.0,369000000.0,1240000000.0,1240000000.0,0.0,0.0
0001675149:2019:FY,AA,2019,227000000.0,-454000000.0,-1307000000.0,-1534000000.0,-409000000.0,-45000000.0
0001675149:2020:FY,AA,2020,114000000.0,-697000000.0,-711000000.0,-825000000.0,-655000000.0,-42000000.0
0001675149:2021:FY,AA,2021,102000000.0,998000000.0,1568000000.0,1466000000.0,1037000000.0,-39000000.0
0001422142:2021:FY,AADI,2021,0.0,-110737000.0,-110737000.0,-110737000.0,0.0,0.0
0000006201:2013:FY,AAL,2013,0.0,-886000000.0,-886000000.0,-886000000.0,948000000.0,0.0
0000006201:2014:FY,AAL,2014,0.0,355000000.0,355000000.0,355000000.0,-2527000000.0,0.0
0000006201:2015:FY,AAL,2015,0.0,-173000000.0,7437000000.0,7437000000.0,0.0,0.0
0000006201:2016:FY,AAL,2016,0.0,-351000000.0,2325000000.0,2325000000.0,0.0,0.0
0000006201:2017:FY,AAL,2017,0.0,1848000000.0,1848000000.0,1848000000.0,-71000000.0,0.0
0000006201:2018:FY,AAL,2018,0.0,1292000000.0,1292000000.0,1292000000.0,-120000000.0,0.0
0000006201:2019:FY,AAL,2019,0.0,1251000000.0,1251000000.0,1251000000.0,-435000000.0,0.0
0000006201:2020:FY,AAL,2020,0.0,-9657000000.0,-9657000000.0,-9657000000.0,-772000000.0,0.0
0000006201:2021:FY,AAL,2021,0.0,-832000000.0,-832000000.0,-832000000.0,1161000000.0,0.0
0000706688:2010:FY,AAN,2010,0.0,0.0,118376000.0,118376000.0,0.0,0.0
0000706688:2011:FY,AAN,2011,0.0,113200000.0,113200000.0,113200000.0,0.0,0.0
0000706688:2012:FY,AAN,2012,0.0,30000.0,173073000.0,173073000.0,0.0,0.0
0000706688:2013:FY,AAN,2013,0.0,5000.0,120671000.0,120671000.0,0.0,0.0
0000706688:2014:FY,AAN,2014,0.0,-26000.0,78207000.0,78207000.0,0.0,0.0
0000706688:2015:FY,AAN,2015,0.0,-427000.0,135282000.0,135282000.0,0.0,0.0
0000706688:2016:FY,AAN,2016,0.0,-14000.0,139269000.0,139269000.0,0.0,0.0
0000706688:2017:FY,AAN,2017,0.0,1305000.0,293841000.0,293841000.0,0.0,0.0
0000706688:2018:FY,AAN,2018,0.0,-1861000.0,194349000.0,194349000.0,0.0,0.0
0000706688:2019:FY,AAN,2019,0.0,1068000.0,32540000.0,32540000.0,0.0,0.0
0001821393:2020:FY,AAN,2020,0.0,-778000.0,-266690000.0,-266690000.0,0.0,0.0
0001821393:2021:FY,AAN,2021,0.0,58000.0,109992000.0,109992000.0,0.0,0.0
0000824142:2011:FY,AAON,2011,0.0,13986000.0,13986000.0,13986000.0,0.0,0.0
0000824142:2012:FY,AAON,2012,0.0,27449000.0,27449000.0,27449000.0,0.0,0.0
0000824142:2013:FY,AAON,2013,0.0,0.0,37547000.0,37547000.0,0.0,0.0
0000824142:2014:FY,AAON,2014,0.0,0.0,44158000.0,44158000.0,0.0,0.0
0000824142:2015:FY,AAON,2015,0.0,0.0,45728000.0,45728000.0,0.0,0.0
0000824142:2016:FY,AAON,2016,0.0,0.0,53376000.0,53376000.0,0.0,0.0
0000824142:2017:FY,AAON,2017,0.0,0.0,54498000.0,54498000.0,0.0,0.0
0000824142:2018:FY,AAON,2018,0.0,0.0,42572000.0,42572000.0,0.0,0.0
0000824142:2019:FY,AAON,2019,0.0,0.0,53711000.0,53711000.0,0.0,0.0
0000824142:2020:FY,AAON,2020,0.0,0.0,79009000.0,79009000.0,0.0,0.0
0000824142:2021:FY,AAON,2021,0.0,0.0,58758000.0,58758000.0,0.0,0.0
0001158449:2011:FY,AAP,2011,0.0,0.0,394682000.0,394682000.0,0.0,0.0
0001158449:2012:FY,AAP,2012,0.0,-137000.0,387533000.0,387533000.0,0.0,0.0
0001158449:2014:FY,AAP,2014,0.0,-16020000.0,477805000.0,477805000.0,0.0,0.0
0001158449:2016:FY,AAP,2016,0.0,4358000.0,463980000.0,463980000.0,0.0,0.0
0001158449:2017:FY,AAP,2017,0.0,14747000.0,490252000.0,490252000.0,0.0,0.0
0001158449:2018:FY,AAP,2018,0.0,-19239000.0,404608000.0,404608000.0,0.0,0.0
0001158449:2019:FY,AAP,2019,0.0,9624000.0,496520000.0,496520000.0,0.0,0.0
0001158449:2020:FY,AAP,2020,0.0,7810000.0,500831000.0,500831000.0,0.0,0.0
0000320193:2009:FY,AAPL,2009,0.0,5780000000.0,5780000000.0,5780000000.0,0.0,0.0
0000320193:2010:FY,AAPL,2010,0.0,13890000000.0,13890000000.0,13890000000.0,0.0,0.0
0000320193:2011:FY,AAPL,2011,0.0,26411000000.0,26411000000.0,26411000000.0,0.0,0.0
0000320193:2012:FY,AAPL,2012,0.0,41789000000.0,41789000000.0,41789000000.0,0.0,0.0
0000320193:2013:FY,AAPL,2013,0.0,-970000000.0,36067000000.0,36067000000.0,0.0,0.0
0000320193:2014:FY,AAPL,2014,0.0,1553000000.0,41063000000.0,41063000000.0,0.0,0.0
0000320193:2015:FY,AAPL,2015,0.0,-1427000000.0,51967000000.0,51967000000.0,0.0,0.0
0000320193:2016:FY,AAPL,2016,0.0,979000000.0,46666000000.0,46666000000.0,979000000.0,0.0
0000320193:2017:FY,AAPL,2017,0.0,47567000000.0,47567000000.0,47567000000.0,-784000000.0,0.0
0000320193:2018:FY,AAPL,2018,0.0,56505000000.0,56505000000.0,56505000000.0,-3026000000.0,0.0
0000320193:2019:FY,AAPL,2019,0.0,58037000000.0,58037000000.0,58037000000.0,2781000000.0,0.0
0000320193:2020:FY,AAPL,2020,0.0,57453000000.0,57453000000.0,57453000000.0,42000000.0,0.0
0000320193:2021:FY,AAPL,2021,0.0,95249000000.0,95249000000.0,95249000000.0,569000000.0,0.0
0000320193:2022:FY,AAPL,2022,0.0,88531000000.0,88531000000.0,88531000000.0,-11272000000.0,0.0
0001500217:2011:FY,AAT,2011,0.0,0.0,19324000.0,19324000.0,0.0,0.0
0001500217:2012:FY,AAT,2012,0.0,0.0,51601000.0,51601000.0,0.0,0.0
0001500217:2013:FY,AAT,2013,0.0,0.0,22594000.0,22594000.0,0.0,0.0
0001500217:2014:FY,AAT,2014,9053000.0,31275000.0,31275000.0,22222000.0,0.0,0.0
0001500217:2015:FY,AAT,2015,15119000.0,53446000.0,53446000.0,38327000.0,0.0,0.0
0001500217:2016:FY,AAT,2016,17624000.0,62454000.0,62454000.0,44830000.0,0.0,0.0
0001500217:2017:FY,AAT,2017,10433000.0,39404000.0,39404000.0,28971000.0,0.0,0.0
0001500217:2018:FY,AAT,2018,6877000.0,26043000.0,26043000.0,19166000.0,0.0,0.0
0001500217:2019:FY,AAT,2019,12301000.0,53313000.0,53313000.0,41012000.0,0.0,0.0
0001500217:2020:FY,AAT,2020,6496000.0,-4979000.0,30609000.0,24113000.0,0.0,0.0
0001500217:2021:FY,AAT,2021,7966000.0,1432000.0,38025000.0,30059000.0,0.0,0.0
0001135185:2011:FY,AAWW,2011,216000.0,-16151000.0,80158000.0,79942000.0,0.0,0.0
0001135185:2012:FY,AAWW,2012,-20000.0,1613000.0,131327000.0,131347000.0,0.0,0.0
0001135185:2013:FY,AAWW,2013,509000.0,3943000.0,97932000.0,97423000.0,0.0,0.0
0001135185:2014:FY,AAWW,2014,-4352000.0,1283000.0,103510000.0,107862000.0,0.0,0.0
0001135185:2015:FY,AAWW,2015,0.0,3509000.0,10795000.0,10795000.0,0.0,0.0
0001135185:2016:FY,AAWW,2016,0.0,1070000.0,42586000.0,42586000.0,0.0,0.0
0001135185:2017:FY,AAWW,2017,0.0,1000000.0,224473000.0,224473000.0,0.0,0.0
0001135185:2018:FY,AAWW,2018,0.0,1131000.0,271698000.0,271698000.0,0.0,0.0
0001135185:2019:FY,AAWW,2019,0.0,1014000.0,-292099000.0,-292099000.0,0.0,0.0
0001135185:2020:FY,AAWW,2020,0.0,914000.0,361200000.0,361200000.0,0.0,0.0
0001135185:2021:FY,AAWW,2021,0.0,1393000.0,494710000.0,494710000.0,0.0,0.0
0001551152:2013:FY,ABBV,2013,0.0,4698000000.0,4698000000.0,4698000000.0,570000000.0,0.0
0001551152:2014:FY,ABBV,2014,0.0,185000000.0,185000000.0,185000000.0,-1589000000.0,0.0
0001551152:2015:FY,ABBV,2015,0.0,4614000000.0,4614000000.0,4614000000.0,-530000000.0,0.0
0001551152:2016:FY,ABBV,2016,0.0,5928000000.0,5928000000.0,5928000000.0,-25000000.0,0.0
0001551152:2017:FY,ABBV,2017,0.0,5168000000.0,5168000000.0,5168000000.0,-141000000.0,0.0
0001551152:2018:FY,ABBV,2018,0.0,5934000000.0,5934000000.0,5934000000.0,247000000.0,0.0
0001551152:2019:FY,ABBV,2019,0.0,6766000000.0,6766000000.0,6766000000.0,-1116000000.0,0.0
0001551152:2020:FY,ABBV,2020,6000000.0,479000000.0,5101000000.0,5095000000.0,0.0,0.0
0001551152:2021:FY,ABBV,2021,7000000.0,218000000.0,11767000000.0,11760000000.0,0.0,0.0
0001140859:2009:FY,ABC,2009,0.0,473791000.0,473791000.0,473791000.0,0.0,0.0
0001140859:2011:FY,ABC,2011,0.0,0.0,706624000.0,706624000.0,0.0,0.0
0001140859:2012:FY,ABC,2012,0.0,0.0,718986000.0,718986000.0,0.0,0.0
0001140859:2013:FY,ABC,2013,0.0,-2826000.0,430881000.0,430881000.0,0.0,0.0
0001140859:2014:FY,ABC,2014,0.0,-16563000.0,259921000.0,259921000.0,0.0,0.0
0001140859:2015:FY,ABC,2015,0.0,-84287000.0,-219174000.0,-219174000.0,0.0,0.0
0001140859:2016:FY,ABC,2016,0.0,22025000.0,1449954000.0,1449954000.0,0.0,0.0
0001140859:2017:FY,ABC,2017,0.0,18458000.0,382942000.0,382942000.0,0.0,0.0
0001140859:2018:FY,ABC,2018,-50829000.0,8281000.0,1624173000.0,1675002000.0,0.0,0.0
0001140859:2019:FY,ABC,2019,-1746000.0,-33228000.0,820907000.0,822653000.0,0.0,0.0
0001140859:2020:FY,ABC,2020,-2923000.0,-8946000.0,-3408504000.0,-3405581000.0,0.0,0.0
0001140859:2021:FY,ABC,2021,6776000.0,-334512000.0,1210096000.0,1203320000.0,0.0,0.0
0001140859:2022:FY,ABC,2022,-68583000.0,-1421831000.0,244709000.0,313292000.0,0.0,0.0
0000351569:2011:FY,ABCB,2011,0.0,22185000.0,22185000.0,22185000.0,0.0,0.0
0000351569:2012:FY,ABCB,2012,0.0,-689000.0,13746000.0,13746000.0,0.0,0.0
0000351569:2013:FY,ABCB,2013,0.0,-6901000.0,13117000.0,13117000.0,0.0,0.0
0000351569:2014:FY,ABCB,2014,0.0,6392000.0,45115000.0,45115000.0,0.0,0.0
0000351569:2015:FY,ABCB,2015,0.0,-2745000.0,43592000.0,43592000.0,0.0,0.0
0000351569:2016:FY,ABCB,2016,0.0,-4411000.0,67689000.0,67689000.0,0.0,0.0
0000351569:2017:FY,ABCB,2017,0.0,-222000.0,73326000.0,73326000.0,0.0,0.0
0000351569:2018:FY,ABCB,2018,0.0,-3154000.0,117873000.0,117873000.0,0.0,0.0
0000351569:2019:FY,ABCB,2019,0.0,22821000.0,184262000.0,184262000.0,0.0,0.0
0000351569:2020:FY,ABCB,2020,0.0,15510000.0,277498000.0,277498000.0,0.0,0.0
0000351569:2021:FY,ABCB,2021,0.0,-17915000.0,358998000.0,358998000.0,0.0,0.0
0001703057:2021:FY,ABCL,2021,0.0,280000.0,153744000.0,153744000.0,0.0,0.0
0001144980:2011:FY,ABG,2011,0.0,69400000.0,69400000.0,69400000.0,0.0,0.0
0001144980:2012:FY,ABG,2012,0.0,85100000.0,85100000.0,85100000.0,0.0,0.0
0001144980:2013:FY,ABG,2013,0.0,110900000.0,110900000.0,110900000.0,0.0,0.0
0001144980:2014:FY,ABG,2014,0.0,109900000.0,109900000.0,109900000.0,0.0,0.0
0001144980:2015:FY,ABG,2015,0.0,167200000.0,167200000.0,167200000.0,0.0,0.0
0001144980:2016:FY,ABG,2016,0.0,168600000.0,168600000.0,168600000.0,0.0,0.0
0001144980:2017:FY,ABG,2017,0.0,140300000.0,140300000.0,140300000.0,0.0,0.0
0001144980:2018:FY,ABG,2018,0.0,169500000.0,169500000.0,169500000.0,0.0,0.0
0001144980:2019:FY,ABG,2019,0.0,181100000.0,181100000.0,181100000.0,0.0,0.0
0001144980:2020:FY,ABG,2020,0.0,251700000.0,251700000.0,251700000.0,0.0,0.0
0001144980:2021:FY,ABG,2021,0.0,537300000.0,537300000.0,537300000.0,0.0,0.0
0000771497:2010:FY,ABM,2010,0.0,64681000.0,64681000.0,64681000.0,0.0,0.0
0000771497:2011:FY,ABM,2011,0.0,67706000.0,67706000.0,67706000.0,0.0,0.0
0000771497:2012:FY,ABM,2012,0.0,63089000.0,63089000.0,63089000.0,0.0,0.0
0000771497:2013:FY,ABM,2013,0.0,503000.0,73403000.0,73403000.0,0.0,0.0
0000771497:2014:FY,ABM,2014,0.0,-1100000.0,74500000.0,74500000.0,0.0,0.0
0000771497:2015:FY,ABM,2015,0.0,74000000.0,74000000.0,74000000.0,0.0,0.0
0000771497:2016:FY,ABM,2016,0.0,30700000.0,30700000.0,30700000.0,0.0,0.0
0000771497:2017:FY,ABM,2017,0.0,15200000.0,15200000.0,15200000.0,0.0,0.0
0000771497:2018:FY,ABM,2018,0.0,109000000.0,109000000.0,109000000.0,0.0,0.0
0000771497:2019:FY,ABM,2019,0.0,112500000.0,112500000.0,112500000.0,0.0,0.0
0000771497:2020:FY,ABM,2020,0.0,-6600000.0,-6600000.0,-6600000.0,0.0,0.0
0000771497:2021:FY,ABM,2021,0.0,134500000.0,134500000.0,134500000.0,0.0,0.0
0000771497:2022:FY,ABM,2022,0.0,236900000.0,236900000.0,236900000.0,0.0,0.0
0000815094:2012:FY,ABMD,2012,0.0,0.0,1495000.0,1495000.0,0.0,0.0
0000815094:2013:FY,ABMD,2013,0.0,-1972000.0,13042000.0,13042000.0,0.0,0.0
0000815094:2014:FY,ABMD,2014,0.0,3007000.0,10358000.0,10358000.0,0.0,0.0
0000815094:2015:FY,ABMD,2015,0.0,-16600000.0,97088000.0,97088000.0,0.0,0.0
0000815094:2016:FY,ABMD,2016,0.0,2790000.0,40937000.0,40937000.0,0.0,0.0
0000815094:2017:FY,ABMD,2017,0.0,-6066000.0,46050000.0,46050000.0,0.0,0.0
0000815094:2018:FY,ABMD,2018,0.0,16402000.0,128572000.0,128572000.0,0.0,0.0
0000815094:2019:FY,ABMD,2019,0.0,-10485000.0,248531000.0,248531000.0,0.0,0.0
0000815094:2020:FY,ABMD,2020,0.0,3500000.0,206509000.0,206509000.0,0.0,0.0
0000815094:2021:FY,ABMD,2021,0.0,-256000.0,225269000.0,225269000.0,0.0,0.0
0000815094:2022:FY,ABMD,2022,0.0,-15715000.0,120790000.0,120790000.0,0.0,0.0
0001559720:2021:FY,ABNB,2021,0.0,-361566000.0,-361566000.0,-361566000.0,-9532000.0,0.0
0001253986:2011:FY,ABR,2011,215656.0,7465272.0,-32630785.0,-32846441.0,0.0,0.0
0001253986:2012:FY,ABR,2012,215567.0,8142345.0,29858800.0,29643233.0,0.0,0.0
0001253986:2013:FY,ABR,2013,124199.0,14324447.0,35623184.0,30992402.0,0.0,0.0
0001253986:2014:FY,ABR,2014,7256255.0,10569003.0,103617493.0,96361238.0,0.0,0.0
0001253986:2015:FY,ABR,2015,7553720.0,63256114.0,63256114.0,55702394.0,0.0,0.0
0001253986:2016:FY,ABR,2016,12883396.0,5161867.0,67642760.0,54759364.0,0.0,0.0
0001253986:2017:FY,ABR,2017,24091000.0,-145000.0,97364000.0,73273000.0,0.0,0.0
0001253986:2018:FY,ABR,2018,32142000.0,-176000.0,147875000.0,115733000.0,0.0,0.0
0001253986:2019:FY,ABR,2019,26610000.0,0.0,155238000.0,128628000.0,0.0,0.0
0001253986:2020:FY,ABR,2020,25208000.0,0.0,196157000.0,170949000.0,0.0,0.0
0001253986:2021:FY,ABR,2021,0.0,0.0,377807000.0,377807000.0,0.0,0.0
0001672688:2021:FY,ABSI,2021,0.0,-100973000.0,-100973000.0,-100973000.0,0.0,0.0
0000001800:2011:FY,ABT,2011,0.0,3498110000.0,3498110000.0,3498110000.0,0.0,0.0
0000001800:2012:FY,ABT,2012,0.0,-996493000.0,4966427000.0,4966427000.0,0.0,0.0
0000001800:2013:FY,ABT,2013,0.0,572000000.0,3148000000.0,3148000000.0,572000000.0,0.0
0000001800:2014:FY,ABT,2014,0.0,-3041000000.0,-757000000.0,-757000000.0,-3041000000.0,0.0
0000001800:2015:FY,ABT,2015,0.0,2691000000.0,2691000000.0,2691000000.0,-1732000000.0,0.0
0000001800:2016:FY,ABT,2016,0.0,795000000.0,795000000.0,795000000.0,-605000000.0,0.0
0000001800:2017:FY,ABT,2017,0.0,1052000000.0,1529000000.0,1529000000.0,1052000000.0,0.0
0000001800:2018:FY,ABT,2018,0.0,-1192000000.0,1176000000.0,1176000000.0,-1192000000.0,0.0
0000001800:2019:FY,ABT,2019,0.0,-879000000.0,2808000000.0,2808000000.0,-879000000.0,0.0
0000001800:2020:FY,ABT,2020,0.0,-481000000.0,4014000000.0,4014000000.0,-481000000.0,0.0
0000001800:2021:FY,ABT,2021,0.0,572000000.0,7643000000.0,7643000000.0,572000000.0,0.0
0001642081:2015:FY,ABTX,2015,0.0,1468000.0,17254000.0,17254000.0,1468000.0,0.0
0001642081:2016:FY,ABTX,2016,0.0,-5069000.0,17782000.0,17782000.0,-5069000.0,0.0
0001642081:2017:FY,ABTX,2017,0.0,3388000.0,21020000.0,21020000.0,3388000.0,0.0
0001642081:2018:FY,ABTX,2018,0.0,-3224000.0,34085000.0,34085000.0,-3224000.0,0.0
0001642081:2019:FY,ABTX,2019,0.0,7788000.0,60747000.0,60747000.0,7788000.0,0.0
0001642081:2020:FY,ABTX,2020,0.0,29531000.0,75065000.0,75065000.0,29531000.0,0.0
0001642081:2021:FY,ABTX,2021,0.0,-16189000.0,65364000.0,65364000.0,-16189000.0,0.0
0001447028:2015:FY,ABUS,2015,0.0,-88590000.0,-88590000.0,-88590000.0,0.0,0.0
0001447028:2016:FY,ABUS,2016,0.0,-384164000.0,-384164000.0,-384164000.0,0.0,0.0
0001447028:2017:FY,ABUS,2017,0.0,-84413000.0,-84413000.0,-84413000.0,0.0,0.0
0001447028:2018:FY,ABUS,2018,0.0,15000.0,-57045000.0,-57045000.0,0.0,0.0
0001447028:2019:FY,ABUS,2019,0.0,-59000.0,-153782000.0,-153782000.0,0.0,0.0
0001447028:2020:FY,ABUS,2020,0.0,14000.0,-63687000.0,-63687000.0,0.0,0.0
0001447028:2021:FY,ABUS,2021,0.0,-164000.0,-76411000.0,-76411000.0,0.0,0.0
0001642122:2015:FY,AC,2015,-780000.0,-11035000.0,-11926000.0,-11146000.0,0.0,0.0
0001642122:2016:FY,AC,2016,1215000.0,4138000.0,14607000.0,13392000.0,0.0,0.0
0001642122:2017:FY,AC,2017,-153000.0,5395000.0,14079000.0,14232000.0,0.0,0.0
0001642122:2018:FY,AC,2018,716000.0,0.0,-57383000.0,-58099000.0,0.0,0.0
0001642122:2019:FY,AC,2019,3594000.0,0.0,42782000.0,39188000.0,0.0,0.0
0001642122:2020:FY,AC,2020,1061000.0,0.0,19877000.0,18816000.0,0.0,0.0
0001642122:2021:FY,AC,2021,4431000.0,0.0,63634000.0,59203000.0,0.0,0.0
0001739445:2018:FY,ACA,2018,0.0,2100000.0,77800000.0,77800000.0,2100000.0,0.0
0001739445:2019:FY,ACA,2019,0.0,-2000000.0,111300000.0,111300000.0,0.0,0.0
0001739445:2020:FY,ACA,2020,0.0,-2400000.0,104200000.0,104200000.0,0.0,0.0
0001739445:2021:FY,ACA,2021,0.0,2800000.0,72400000.0,72400000.0,0.0,0.0
0001070494:2011:FY,ACAD,2011,0.0,0.0,-22765000.0,-22765000.0,0.0,0.0
0001070494:2012:FY,ACAD,2012,0.0,-5000.0,-20854000.0,-20854000.0,0.0,0.0
0001070494:2013:FY,ACAD,2013,0.0,44000.0,-37904000.0,-37904000.0,0.0,0.0
0001070494:2014:FY,ACAD,2014,0.0,-57000.0,-92532000.0,-92532000.0,0.0,0.0
0001070494:2015:FY,ACAD,2015,0.0,20000.0,-164423000.0,-164423000.0,0.0,0.0
0001070494:2016:FY,ACAD,2016,0.0,95000.0,-271298000.0,-271298000.0,0.0,0.0
0001070494:2017:FY,ACAD,2017,0.0,-505000.0,-289908000.0,-289908000.0,0.0,0.0
0001070494:2018:FY,ACAD,2018,0.0,27000.0,-245165000.0,-245165000.0,0.0,0.0
0001070494:2019:FY,ACAD,2019,0.0,669000.0,-234590000.0,-234590000.0,0.0,0.0
0001070494:2020:FY,ACAD,2020,0.0,-261000.0,-281845000.0,-281845000.0,0.0,0.0
0001070494:2021:FY,ACAD,2021,0.0,-228000.0,-168098000.0,-168098000.0,0.0,0.0
0001283630:2011:FY,ACC,2011,0.0,1213000.0,59185000.0,59185000.0,0.0,0.0
0001283630:2012:FY,ACC,2012,0.0,-6903000.0,53335000.0,53335000.0,0.0,0.0
0001283630:2013:FY,ACC,2013,0.0,2679000.0,109870000.0,109870000.0,0.0,0.0
0001283630:2014:FY,ACC,2014,0.0,-6124000.0,57980000.0,57980000.0,0.0,0.0
0001283630:2015:FY,ACC,2015,0.0,-1606000.0,116455000.0,116455000.0,0.0,0.0
0001283630:2016:FY,ACC,2016,0.0,201000.0,100824000.0,100824000.0,0.0,0.0
0001283630:2017:FY,ACC,2017,0.0,283000.0,70404000.0,70404000.0,0.0,0.0
0001283630:2018:FY,ACC,2018,0.0,-3725000.0,115399000.0,115399000.0,0.0,0.0
0001283630:2019:FY,ACC,2019,0.0,-14342000.0,72420000.0,72420000.0,0.0,0.0
0001283630:2020:FY,ACC,2020,0.0,-2876000.0,66972000.0,66972000.0,0.0,0.0
0001283630:2021:FY,ACC,2021,0.0,10435000.0,43719000.0,43719000.0,0.0,0.0
0001481646:2021:FY,ACCD,2021,0.0,0.0,-50652000.0,-50652000.0,0.0,0.0
0001481646:2022:FY,ACCD,2022,0.0,0.0,-123124000.0,-123124000.0,0.0,0.0
0000712034:2012:FY,ACCO,2012,0.0,90300000.0,90300000.0,90300000.0,-25100000.0,0.0
0000712034:2013:FY,ACCO,2013,0.0,47600000.0,47600000.0,47600000.0,0.0,0.0
0000712034:2014:FY,ACCO,2014,0.0,-15400000.0,-15400000.0,-15400000.0,0.0,0.0
0000712034:2015:FY,ACCO,2015,0.0,-50700000.0,-50700000.0,-50700000.0,0.0,0.0
0000712034:2016:FY,ACCO,2016,0.0,105300000.0,105300000.0,105300000.0,0.0,0.0
0000712034:2017:FY,ACCO,2017,0.0,-41700000.0,90000000.0,90000000.0,0.0,0.0
0000712034:2018:FY,ACCO,2018,0.0,-600000.0,106100000.0,106100000.0,0.0,0.0
0000712034:2019:FY,ACCO,2019,0.0,-44000000.0,62800000.0,62800000.0,0.0,0.0
0000712034:2020:FY,ACCO,2020,0.0,-58500000.0,3500000.0,3500000.0,0.0,0.0
0000712034:2021:FY,ACCO,2021,0.0,28700000.0,130600000.0,130600000.0,0.0,0.0
0001698991:2019:FY,ACEL,2019,0.0,0.0,-5864000.0,-5864000.0,0.0,0.0
0001698991:2020:FY,ACEL,2020,0.0,-12891000.0,-12891000.0,-12891000.0,0.0,0.0
0001698991:2021:FY,ACEL,2021,0.0,31466000.0,31466000.0,31466000.0,0.0,0.0
0000002034:2012:FY,ACET,2012,0.0,10557000.0,10557000.0,10557000.0,0.0,0.0
0000002034:2013:FY,ACET,2013,0.0,23911000.0,23911000.0,23911000.0,0.0,0.0
0000002034:2014:FY,ACET,2014,0.0,31470000.0,31470000.0,31470000.0,0.0,0.0
0000002034:2015:FY,ACET,2015,0.0,21015000.0,21015000.0,21015000.0,0.0,0.0
0000002034:2016:FY,ACET,2016,0.0,771000.0,35537000.0,35537000.0,0.0,0.0
0000002034:2017:FY,ACET,2017,0.0,1213000.0,12589000.0,12589000.0,0.0,0.0
0000002034:2018:FY,ACET,2018,0.0,4227000.0,-311894000.0,-311894000.0,0.0,0.0
0001720580:2020:FY,ACET,2020,0.0,1000.0,-36677000.0,-36677000.0,0.0,0.0
0001720580:2021:FY,ACET,2021,0.0,-24000.0,-62023000.0,-62023000.0,0.0,0.0
0000947484:2011:FY,ACGL,2011,0.0,385778000.0,385778000.0,385778000.0,0.0,0.0
0000947484:2012:FY,ACGL,2012,0.0,726491000.0,726491000.0,726491000.0,0.0,0.0
0000947484:2013:FY,ACGL,2013,0.0,-212053000.0,497678000.0,497678000.0,-212053000.0,0.0
0000947484:2014:FY,ACGL,2014,-13095000.0,53892000.0,875152000.0,888247000.0,0.0,0.0
0000947484:2015:FY,ACGL,2015,-11421000.0,-145623000.0,380959000.0,392380000.0,-145358000.0,-265000.0
0000947484:2016:FY,ACGL,2016,131372000.0,-98107000.0,726071000.0,594699000.0,-98039000.0,-68000.0
0000947484:2017:FY,ACGL,2017,9901000.0,232055000.0,861764000.0,851863000.0,232585000.0,-530000.0
0000947484:2018:FY,ACGL,2018,-33496000.0,-150314000.0,577507000.0,611003000.0,-146970000.0,-3346000.0
0000947484:2019:FY,ACGL,2019,66111000.0,399940000.0,2093240000.0,2027129000.0,390811000.0,9130000.0
0000947484:2020:FY,ACGL,2020,69252000.0,285866000.0,1751577000.0,1682325000.0,276804000.0,9062000.0
0000947484:2021:FY,ACGL,2021,68629000.0,-567479000.0,1671983000.0,1603354000.0,-553495000.0,-13984000.0
