,ticker,fiscal_year,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities,exchange_gains_losses,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities_continuing,net_cash_flow,net_cash_flow_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_financing_activities_discontinued
0001283630:2014:FY,ACC,2014,259898000.0,-429235000.0,155648000.0,0.0,-429235000.0,155648000.0,-13689000.0,-13689000.0,259898000.0,0.0,0.0,0.0,0.0
0001283630:2015:FY,ACC,2015,260986000.0,-239455000.0,-29934000.0,0.0,-239455000.0,-29934000.0,-8403000.0,-8403000.0,260986000.0,0.0,0.0,0.0,0.0
0001283630:2016:FY,ACC,2016,308089000.0,-31556000.0,-271052000.0,0.0,-31556000.0,-271052000.0,5481000.0,5481000.0,308089000.0,0.0,0.0,0.0,0.0
0001283630:2017:FY,ACC,2017,319954000.0,-977799000.0,676887000.0,0.0,-977799000.0,676887000.0,19042000.0,19042000.0,319954000.0,0.0,0.0,0.0,0.0
0001283630:2018:FY,ACC,2018,376621000.0,-335812000.0,936000.0,0.0,-335812000.0,936000.0,41745000.0,41745000.0,376621000.0,0.0,0.0,0.0,0.0
0001283630:2019:FY,ACC,2019,370379000.0,-416140000.0,20592000.0,0.0,-416140000.0,20592000.0,-25169000.0,-25169000.0,370379000.0,0.0,0.0,0.0,0.0
0001283630:2020:FY,ACC,2020,351117000.0,-207432000.0,-151061000.0,0.0,-207432000.0,-151061000.0,-7376000.0,-7376000.0,351117000.0,0.0,0.0,0.0,0.0
0001283630:2021:FY,ACC,2021,334795000.0,-239440000.0,-34650000.0,0.0,-239440000.0,-34650000.0,60705000.0,60705000.0,334795000.0,0.0,0.0,0.0,0.0
0001481646:2021:FY,ACCD,2021,-25232000.0,-2423000.0,428384000.0,0.0,-2423000.0,428384000.0,400729000.0,400729000.0,-25232000.0,0.0,0.0,0.0,0.0
0001481646:2022:FY,ACCD,2022,-62350000.0,-263613000.0,257932000.0,0.0,-263613000.0,257932000.0,-68031000.0,-68031000.0,-62350000.0,0.0,0.0,0.0,0.0
0000712034:2012:FY,ACCO,2012,-7500000.0,-423200000.0,360100000.0,-600000.0,-423200000.0,360100000.0,-71200000.0,-70600000.0,-7500000.0,0.0,0.0,0.0,0.0
0000712034:2013:FY,ACCO,2013,194500000.0,-33300000.0,-155500000.0,-2200000.0,-33300000.0,-155500000.0,3500000.0,5700000.0,194500000.0,0.0,0.0,0.0,0.0
0000712034:2014:FY,ACCO,2014,171700000.0,-25800000.0,-142000000.0,-4200000.0,-25800000.0,-142000000.0,-300000.0,3900000.0,171700000.0,0.0,0.0,0.0,0.0
0000712034:2015:FY,ACCO,2015,171200000.0,-24600000.0,-137800000.0,-6600000.0,-24600000.0,-137800000.0,2200000.0,8800000.0,171200000.0,0.0,0.0,0.0,0.0
0000712034:2016:FY,ACCO,2016,165900000.0,-106400000.0,-75200000.0,3200000.0,-106400000.0,-75200000.0,-12500000.0,-15700000.0,165900000.0,0.0,0.0,0.0,0.0
0000712034:2017:FY,ACCO,2017,204900000.0,-319100000.0,142200000.0,6000000.0,-319100000.0,142200000.0,34000000.0,28000000.0,204900000.0,0.0,0.0,0.0,0.0
0000712034:2018:FY,ACCO,2018,194800000.0,-71900000.0,-125600000.0,-7200000.0,-71900000.0,-125600000.0,-9900000.0,-2700000.0,194800000.0,0.0,0.0,0.0,0.0
0000712034:2019:FY,ACCO,2019,203900000.0,-79600000.0,-163400000.0,-100000.0,-79600000.0,-163400000.0,-39200000.0,-39100000.0,203900000.0,0.0,0.0,0.0,0.0
0000712034:2020:FY,ACCO,2020,119200000.0,-354700000.0,244700000.0,-400000.0,-354700000.0,244700000.0,8800000.0,9200000.0,119200000.0,0.0,0.0,0.0,0.0
0000712034:2021:FY,ACCO,2021,159600000.0,-5800000.0,-147200000.0,-2000000.0,-5800000.0,-147200000.0,4600000.0,6600000.0,159600000.0,0.0,0.0,0.0,0.0
0001698991:2019:FY,ACEL,2019,45565000.0,-151532000.0,139141000.0,0.0,-151532000.0,139141000.0,33174000.0,33174000.0,45565000.0,0.0,0.0,0.0,0.0
0001698991:2020:FY,ACEL,2020,-3705000.0,-61435000.0,74188000.0,0.0,-61435000.0,74188000.0,9048000.0,9048000.0,-3705000.0,0.0,0.0,0.0,0.0
0001698991:2021:FY,ACEL,2021,110755000.0,-34544000.0,-11876000.0,0.0,-34544000.0,-11876000.0,64335000.0,64335000.0,110755000.0,0.0,0.0,0.0,0.0
0000002034:2012:FY,ACET,2012,13269000.0,-42000.0,-15295000.0,-1734000.0,-42000.0,-15295000.0,-3802000.0,-2068000.0,13269000.0,0.0,0.0,0.0,0.0
0000002034:2013:FY,ACET,2013,23731000.0,-1451000.0,-14306000.0,395000.0,-1451000.0,-14306000.0,8369000.0,7974000.0,23731000.0,0.0,0.0,0.0,0.0
0000002034:2014:FY,ACET,2014,25056000.0,-86633000.0,70533000.0,710000.0,-86633000.0,70533000.0,9666000.0,8956000.0,25056000.0,0.0,0.0,0.0,0.0
0000002034:2015:FY,ACET,2015,8343000.0,-4901000.0,-8245000.0,-4074000.0,-4901000.0,-8245000.0,-8877000.0,-4803000.0,8343000.0,0.0,0.0,0.0,0.0
0000002034:2016:FY,ACET,2016,31831000.0,-9894000.0,10855000.0,16000.0,-9894000.0,10855000.0,32808000.0,32792000.0,31831000.0,0.0,0.0,0.0,0.0
0000002034:2017:FY,ACET,2017,44567000.0,-276378000.0,220162000.0,501000.0,-276378000.0,220162000.0,-11148000.0,-11649000.0,44567000.0,0.0,0.0,0.0,0.0
0000002034:2018:FY,ACET,2018,101806000.0,-8281000.0,-48863000.0,532000.0,-8281000.0,-48863000.0,45194000.0,44662000.0,101806000.0,0.0,0.0,0.0,0.0
0001720580:2020:FY,ACET,2020,-41552000.0,115217000.0,303000.0,0.0,115217000.0,303000.0,73968000.0,73968000.0,-41552000.0,0.0,0.0,0.0,0.0
0001720580:2021:FY,ACET,2021,-51052000.0,-2796000.0,242685000.0,0.0,-2796000.0,242685000.0,188837000.0,188837000.0,-51052000.0,0.0,0.0,0.0,0.0
0000947484:2011:FY,ACGL,2011,866112000.0,-538420000.0,-337135000.0,-1598000.0,-538420000.0,-337135000.0,-11041000.0,-9443000.0,866112000.0,0.0,0.0,0.0,0.0
0000947484:2012:FY,ACGL,2012,921603000.0,-395968000.0,-513035000.0,6742000.0,-395968000.0,-513035000.0,19342000.0,12600000.0,921603000.0,0.0,0.0,0.0,0.0
0000947484:2013:FY,ACGL,2013,850868000.0,-1307513000.0,524018000.0,-4357000.0,-1307513000.0,524018000.0,63016000.0,67373000.0,850868000.0,0.0,0.0,0.0,0.0
0000947484:2014:FY,ACGL,2014,1037130000.0,-1505421000.0,539943000.0,-20007000.0,-1505421000.0,539943000.0,51645000.0,71652000.0,1037130000.0,0.0,0.0,0.0,0.0
0000947484:2015:FY,ACGL,2015,997906000.0,-913875000.0,-4656000.0,-11751000.0,-913875000.0,-4656000.0,67624000.0,79375000.0,997906000.0,0.0,0.0,0.0,0.0
0000947484:2016:FY,ACGL,2016,1396644000.0,-2721543000.0,1635669000.0,-21154000.0,-2721543000.0,1635669000.0,289616000.0,310770000.0,1396644000.0,0.0,0.0,0.0,0.0
0000947484:2017:FY,ACGL,2017,1112617000.0,-1359996000.0,-3405000.0,14041000.0,-1359996000.0,-3405000.0,-236743000.0,-250784000.0,1112617000.0,0.0,0.0,0.0,0.0
0000947484:2018:FY,ACGL,2018,1559322000.0,-554020000.0,-988810000.0,-19133000.0,-554020000.0,-988810000.0,-2641000.0,16492000.0,1559322000.0,0.0,0.0,0.0,0.0
0000947484:2019:FY,ACGL,2019,2048459000.0,-1806483000.0,-80662000.0,17741000.0,-1806483000.0,-80662000.0,179055000.0,161314000.0,2048459000.0,0.0,0.0,0.0,0.0
0000947484:2020:FY,ACGL,2020,2886505000.0,-3043226000.0,521278000.0,22289000.0,-3043226000.0,521278000.0,386846000.0,364557000.0,2886505000.0,0.0,0.0,0.0,0.0
0000947484:2021:FY,ACGL,2021,3427555000.0,-2139732000.0,-1229549000.0,-34047000.0,-2139732000.0,-1229549000.0,24227000.0,58274000.0,3427555000.0,0.0,0.0,0.0,0.0
0001520697:2011:FY,ACHC,2011,-18607000.0,-225332000.0,298740000.0,0.0,-225570000.0,298740000.0,52504000.0,54801000.0,-20666000.0,-2059000.0,-2297000.0,-238000.0,0.0
0001520697:2012:FY,ACHC,2012,34309000.0,-524644000.0,479027000.0,0.0,-524644000.0,479027000.0,-11719000.0,-11308000.0,33898000.0,-411000.0,-411000.0,0.0,0.0
0001520697:2013:FY,ACHC,2013,65330000.0,-242978000.0,132586000.0,0.0,-242978000.0,132586000.0,-44830000.0,-45062000.0,65562000.0,232000.0,232000.0,0.0,0.0
0001520697:2014:FY,ACHC,2014,115484000.0,-860774000.0,837972000.0,-3013000.0,-860774000.0,837972000.0,89471000.0,92682000.0,115286000.0,-198000.0,-198000.0,0.0,0.0
0001520697:2015:FY,ACHC,2015,242138000.0,-884471000.0,563602000.0,-2359000.0,-884471000.0,563602000.0,-82825000.0,-78731000.0,240403000.0,-1735000.0,-1735000.0,0.0,0.0
0001520697:2016:FY,ACHC,2016,371734000.0,-660365000.0,358841000.0,-14106000.0,-660365000.0,358841000.0,45848000.0,70210000.0,361478000.0,-10256000.0,-10256000.0,0.0,0.0
0001520697:2017:FY,ACHC,2017,401270000.0,-336526000.0,-60074000.0,7250000.0,-336526000.0,-60074000.0,10227000.0,4670000.0,399577000.0,-1693000.0,-1693000.0,0.0,0.0
0001520697:2018:FY,ACHC,2018,416628000.0,-360964000.0,-67330000.0,-2566000.0,-360964000.0,-67330000.0,-16780000.0,-11666000.0,414080000.0,-2548000.0,-2548000.0,0.0,0.0
0001520697:2019:FY,ACHC,2019,332904000.0,-201141000.0,-61627000.0,0.0,-201141000.0,-61627000.0,70136000.0,70136000.0,332904000.0,0.0,0.0,0.0,0.0
0001520697:2020:FY,ACHC,2020,502844000.0,-238237000.0,-51499000.0,0.0,-281839000.0,-48249000.0,325469000.0,216358000.0,658807000.0,155963000.0,109111000.0,-43602000.0,-3250000.0
0001520697:2021:FY,ACHC,2021,374224000.0,1017633000.0,-1641061000.0,0.0,1017633000.0,-1641061000.0,-248951000.0,-249204000.0,374477000.0,253000.0,253000.0,0.0,0.0
0001824502:2021:FY,ACHR,2021,-108400000.0,-3500000.0,822200000.0,0.0,-3500000.0,822200000.0,710300000.0,710300000.0,-108400000.0,0.0,0.0,0.0,0.0
0001037676:2009:FY,ACI,2009,382980000.0,-1130382000.0,737891000.0,0.0,-1130382000.0,737891000.0,-9511000.0,-9511000.0,382980000.0,0.0,0.0,0.0,0.0
0001037676:2010:FY,ACI,2010,697147000.0,-389129000.0,-275563000.0,0.0,-389129000.0,-275563000.0,32455000.0,32455000.0,697147000.0,0.0,0.0,0.0,0.0
0001037676:2011:FY,ACI,2011,642242000.0,-3496916000.0,2899230000.0,0.0,-3496916000.0,2899230000.0,44556000.0,44556000.0,642242000.0,0.0,0.0,0.0,0.0
0001037676:2012:FY,ACI,2012,332804000.0,-649166000.0,962835000.0,0.0,-649166000.0,962835000.0,646473000.0,646473000.0,332804000.0,0.0,0.0,0.0,0.0
0001037676:2013:FY,ACI,2013,55742000.0,125445000.0,-54710000.0,0.0,125445000.0,-54710000.0,126477000.0,126477000.0,55742000.0,0.0,0.0,0.0,0.0
0001037676:2014:FY,ACI,2014,-33582000.0,-105756000.0,-37530000.0,0.0,-105756000.0,-37530000.0,-176868000.0,-176868000.0,-33582000.0,0.0,0.0,0.0,0.0
0001037676:2015:FY,ACI,2015,-44367000.0,-180341000.0,-58742000.0,0.0,-180341000.0,-58742000.0,-283450000.0,-283450000.0,-44367000.0,0.0,0.0,0.0,0.0
