,ticker,fiscal_year,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities,exchange_gains_losses,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities_continuing,net_cash_flow,net_cash_flow_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_financing_activities_discontinued
0001757898:2019:FY,STE,2019,539505000.0,-213224000.0,-294792000.0,-12390000.0,-213224000.0,-294792000.0,19099000.0,31489000.0,539505000.0,0.0,0.0,0.0,0.0
0001757898:2020:FY,STE,2020,590559000.0,-319735000.0,-163146000.0,-8730000.0,-319735000.0,-163146000.0,98948000.0,107678000.0,590559000.0,0.0,0.0,0.0,0.0
0001757898:2021:FY,STE,2021,689640000.0,-1154159000.0,345620000.0,19849000.0,-1154159000.0,345620000.0,-99050000.0,-118899000.0,689640000.0,0.0,0.0,0.0,0.0
0001757898:2022:FY,STE,2022,684811000.0,-666559000.0,115830000.0,-6293000.0,-666559000.0,115830000.0,127789000.0,134082000.0,684811000.0,0.0,0.0,0.0,0.0
0000883975:2011:FY,STEM,2011,-22058283.0,-3422012.0,19129484.0,-45749.0,-3422012.0,19129484.0,-6350811.0,-6305062.0,-22058283.0,0.0,0.0,0.0,0.0
0000883975:2012:FY,STEM,2012,-19869344.0,-10691831.0,25737110.0,-15921.0,-10691831.0,25737110.0,-4824065.0,-4808144.0,-19869344.0,0.0,0.0,0.0,0.0
0000883975:2013:FY,STEM,2013,-23322001.0,9035906.0,36402277.0,-2033.0,9035906.0,36402277.0,22116182.0,22118215.0,-23322001.0,0.0,0.0,0.0,0.0
0000883975:2014:FY,STEM,2014,-27352431.0,-425622.0,22196501.0,-16269.0,-425622.0,22196501.0,-5581552.0,-5565283.0,-27352431.0,0.0,0.0,0.0,0.0
0000883975:2015:FY,STEM,2015,-30679424.0,-885280.0,18706825.0,-19159.0,-885280.0,18706825.0,-12857879.0,-12838720.0,-30679424.0,0.0,0.0,0.0,0.0
0001758766:2021:FY,STEM,2021,-101266000.0,-185233000.0,1027095000.0,242000.0,-185233000.0,1027095000.0,740838000.0,740596000.0,-101266000.0,0.0,0.0,0.0,0.0
0001796022:2021:FY,STEP,2021,149299000.0,-11166000.0,-45306000.0,1097000.0,-11166000.0,-45306000.0,93924000.0,92827000.0,149299000.0,0.0,0.0,0.0,0.0
0001796022:2022:FY,STEP,2022,214281000.0,-210241000.0,-70439000.0,-15000.0,-210241000.0,-70439000.0,-66414000.0,-66399000.0,214281000.0,0.0,0.0,0.0,0.0
0001645070:2021:FY,STER,2021,68605000.0,-85376000.0,-1087000.0,-777000.0,-85376000.0,-1087000.0,-18635000.0,-17858000.0,68605000.0,0.0,0.0,0.0,0.0
0000876883:2021:FY,STGW,2021,200856000.0,163952000.0,-273414000.0,158000.0,163952000.0,-273414000.0,91552000.0,91394000.0,200856000.0,0.0,0.0,0.0,0.0
0000351834:2011:FY,STKL,2011,-3874000.0,-19508000.0,25245000.0,-102000.0,-19816000.0,25245000.0,-265000.0,1863000.0,-5592000.0,-1718000.0,-2026000.0,-308000.0,0.0
0000351834:2012:FY,STKL,2012,31035000.0,-61881000.0,23167000.0,65000.0,-49747000.0,23167000.0,4462000.0,-7679000.0,30977000.0,-58000.0,12076000.0,12134000.0,0.0
0000351834:2013:FY,STKL,2013,34660000.0,-33001000.0,4495000.0,151000.0,-33001000.0,4495000.0,1697000.0,6154000.0,30052000.0,-4608000.0,-4608000.0,0.0,0.0
0000351834:2014:FY,STKL,2014,25017000.0,-14970000.0,-45661000.0,159000.0,22088000.0,-45661000.0,1401000.0,-35614000.0,24815000.0,-202000.0,36856000.0,37058000.0,0.0
0000351834:2016:FY,STKL,2016,721000.0,-21606000.0,15591000.0,52000.0,-19852000.0,16771000.0,-2730000.0,-4114000.0,1479000.0,758000.0,1332000.0,1754000.0,-1180000.0
0000351834:2017:FY,STKL,2017,31463000.0,-40122000.0,10568000.0,68000.0,-40122000.0,10568000.0,1977000.0,1909000.0,31463000.0,0.0,0.0,0.0,0.0
0000351834:2018:FY,STKL,2018,-11141000.0,-28771000.0,40034000.0,-70000.0,-28771000.0,40034000.0,52000.0,122000.0,-11141000.0,0.0,0.0,0.0,0.0
0000351834:2019:FY,STKL,2019,9809000.0,27219000.0,-38763000.0,-47000.0,27219000.0,-38763000.0,-1782000.0,-1735000.0,9809000.0,0.0,0.0,0.0,0.0
0000351834:2020:FY,STKL,2020,52663000.0,-37371000.0,-417684000.0,0.0,324518000.0,-386621000.0,-1470000.0,-371329000.0,91696000.0,39033000.0,369859000.0,361889000.0,-31063000.0
0001399520:2015:FY,STKS,2015,2042433.0,-12651916.0,4737961.0,-191610.0,-12651916.0,4737961.0,-6063132.0,-5871522.0,2042433.0,0.0,0.0,0.0,0.0
0001399520:2016:FY,STKS,2016,2102220.0,-10090743.0,8041692.0,-297259.0,-10090743.0,8041692.0,-244090.0,53169.0,2102220.0,0.0,0.0,0.0,0.0
0001399520:2017:FY,STKS,2017,5987000.0,-4334000.0,-938000.0,-85000.0,-4334000.0,-938000.0,630000.0,715000.0,5987000.0,0.0,0.0,0.0,0.0
0001399520:2018:FY,STKS,2018,6444000.0,-3462000.0,-2184000.0,-754000.0,-3462000.0,-2184000.0,44000.0,798000.0,6444000.0,0.0,0.0,0.0,0.0
0001399520:2019:FY,STKS,2019,8360000.0,-30397000.0,33121000.0,-332000.0,-30397000.0,33121000.0,10752000.0,11084000.0,8360000.0,0.0,0.0,0.0,0.0
0001399520:2020:FY,STKS,2020,431000.0,-5787000.0,17424000.0,-27000.0,-5787000.0,17424000.0,12041000.0,12068000.0,431000.0,0.0,0.0,0.0,0.0
